Iteration,Accuracy
1,0.9598108747044918
2,0.9598108747044918
3,0.9598108747044918
4,0.9598108747044918
5,0.9598108747044918
6,0.9598108747044918
7,0.9598108747044918
8,0.9598108747044918
9,0.9598108747044918
10,0.9598108747044918
11,0.9598108747044918
12,0.9598108747044918
13,0.9598108747044918
14,0.9598108747044918
15,0.9598108747044918
16,0.9598108747044918
17,0.9598108747044918
18,0.9598108747044918
19,0.9598108747044918
20,0.9598108747044918
21,0.9598108747044918
22,0.9598108747044918
23,0.9598108747044918
24,0.9598108747044918
25,0.9598108747044918
26,0.9598108747044918
27,0.9598108747044918
28,0.9598108747044918
29,0.9598108747044918
30,0.9598108747044918
