Missingness,Iteration,Accuracy
0.0,1,0.6028368794326241
0.0,2,0.607565011820331
0.0,3,0.6122931442080378
0.0,4,0.5862884160756501
0.0,5,0.6170212765957447
0.0,6,0.6382978723404256
0.0,7,0.6004728132387707
0.0,8,0.6264775413711584
0.0,9,0.5697399527186762
0.0,10,0.6170212765957447
0.0,11,0.5910165484633569
0.0,12,0.5886524822695035
0.0,13,0.5815602836879432
0.0,14,0.5697399527186762
0.0,15,0.6312056737588653
0.0,16,0.624113475177305
0.0,17,0.607565011820331
0.0,18,0.6453900709219859
0.0,19,0.5933806146572104
0.0,20,0.6170212765957447
0.0,21,0.5839243498817966
0.0,22,0.6572104018912529
0.0,23,0.6264775413711584
0.0,24,0.5839243498817966
0.0,25,0.6170212765957447
0.0,26,0.6288416075650118
0.0,27,0.574468085106383
0.0,28,0.607565011820331
0.0,29,0.5933806146572104
0.0,30,0.5697399527186762
