Missingness,Iteration,Accuracy
0.0,1,0.5933806146572104
0.0,2,0.5791962174940898
0.0,3,0.6052009456264775
0.0,4,0.5602836879432624
0.0,5,0.5650118203309693
0.0,6,0.5910165484633569
0.0,7,0.557919621749409
0.0,8,0.5200945626477541
0.0,9,0.5768321513002365
0.0,10,0.5555555555555556
0.0,11,0.5508274231678487
0.0,12,0.6099290780141844
0.0,13,0.5011820330969267
0.0,14,0.5650118203309693
0.0,15,0.6052009456264775
0.0,16,0.5957446808510638
0.0,17,0.5791962174940898
0.0,18,0.6052009456264775
0.0,19,0.5555555555555556
0.0,20,0.6052009456264775
0.0,21,0.5673758865248227
0.0,22,0.5390070921985816
0.0,23,0.557919621749409
0.0,24,0.5342789598108747
0.0,25,0.5484633569739953
0.0,26,0.5650118203309693
0.0,27,0.5886524822695035
0.0,28,0.574468085106383
0.0,29,0.5791962174940898
0.0,30,0.5791962174940898
